season,match_id,home_team,away_team,current_innings,fullName,runs,ballsFaced,fours,sixes,strikeRate
2022,1304047,CSK,KKR,CSK,Ruturaj Gaikwad,0,4,0,0,0
2022,1304047,CSK,KKR,CSK,Devon Conway,3,8,0,0,37.5
2022,1304047,CSK,KKR,CSK,Robin Uthappa,28,21,2,2,133.33
2022,1304047,CSK,KKR,CSK,Ambati Rayudu,15,17,1,1,88.23
2022,1304047,CSK,KKR,CSK,Ravindra Jadeja,26,28,0,1,92.85
2022,1304047,CSK,KKR,CSK,Shivam Dube,3,6,0,0,50
2022,1304047,CSK,KKR,CSK,MS Dhoni,50,38,7,1,131.57
2022,1304047,CSK,KKR,KKR,Ajinkya Rahane,44,34,6,1,129.41
2022,1304047,CSK,KKR,KKR,Venkatesh Iyer,16,16,2,0,100
2022,1304047,CSK,KKR,KKR,Nitish Rana,21,17,2,1,123.52
2022,1304047,CSK,KKR,KKR,Shreyas Iyer,20,19,1,0,105.26
2022,1304047,CSK,KKR,KKR,Sam Billings,25,22,1,1,113.63
2022,1304047,CSK,KKR,KKR,Sheldon Jackson,3,3,0,0,100
2022,1304048,DC,MI,MI,Rohit Sharma,41,32,4,2,128.12
2022,1304048,DC,MI,MI,Ishan Kishan,81,48,11,2,168.75
2022,1304048,DC,MI,MI,Anmolpreet Singh,8,9,0,0,88.88
2022,1304048,DC,MI,MI,Tilak Varma,22,15,3,0,146.66
2022,1304048,DC,MI,MI,Kieron Pollard,3,6,0,0,50
2022,1304048,DC,MI,MI,Tim David,12,8,0,1,150
2022,1304048,DC,MI,MI,Daniel Sams,7,2,0,1,350
2022,1304048,DC,MI,DC,Prithvi Shaw,38,24,4,2,158.33
2022,1304048,DC,MI,DC,Tim Seifert,21,14,4,0,150
2022,1304048,DC,MI,DC,Mandeep Singh,0,2,0,0,0
2022,1304048,DC,MI,DC,Rishabh Pant,1,2,0,0,50
2022,1304048,DC,MI,DC,Lalit Yadav,48,38,4,2,126.31
2022,1304048,DC,MI,DC,Rovman Powell,0,2,0,0,0
2022,1304048,DC,MI,DC,Shardul Thakur,22,11,4,0,200
2022,1304048,DC,MI,DC,Axar Patel,38,17,2,3,223.52
2022,1304049,PBKS,RCB,RCB,Faf du Plessis,88,57,3,7,154.38
2022,1304049,PBKS,RCB,RCB,Anuj Rawat,21,20,2,1,105
2022,1304049,PBKS,RCB,RCB,Virat Kohli,41,29,1,2,141.37
2022,1304049,PBKS,RCB,RCB,Dinesh Karthik,32,14,3,3,228.57
2022,1304049,PBKS,RCB,PBKS,Mayank Agarwal,32,24,2,2,133.33
2022,1304049,PBKS,RCB,PBKS,Shikhar Dhawan,43,29,5,1,148.27
